Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66395.3,   30.0,         1, 2,    66395.3,  -90.0,         1, 3,    66395.3,  150.0,         1
"680", 4.16, 1,    2401.77,    0.0,         1, 2,    2401.77, -120.0,         1, 3,    2401.75,  120.0,   0.99999
"650", 4.16, 1,    2401.75,    0.0,   0.99999, 2,    2401.75, -120.0,   0.99999, 3,    2401.74,  120.0,   0.99999
"RG60", 4.16, 1,    2431.74,    0.0,    1.0125, 2,    2431.71, -120.0,    1.0125, 3,    2446.69,  120.0,    1.0187
"633", 4.16, 1,    2387.43,    1.5,   0.99403, 2,     2366.1, -120.3,   0.98514, 3,     2354.4,  119.8,   0.98028
"634", 0.48, 1,     266.09,    2.9,   0.96017, 2,    273.011, -120.3,   0.98514, 3,    271.662,  119.8,   0.98028
"684", 4.16, 2,    2399.87, -119.5,   0.99921, 3,     2234.2,  119.0,   0.93023, 0, 0, 0, 0
"645", 4.16, 2,    2353.18, -120.4,   0.97976, 0, 0, 0, 0, 0, 0, 0, 0
"646", 4.16, 2,    2346.33, -120.5,   0.97691, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,    2421.08,    0.7,     1.008, 2,    2399.87, -119.5,   0.99921, 3,     2284.7,  119.4,   0.95125
"675", 4.16, 1,     2430.3,    0.8,    1.0119, 2,    2407.89, -119.4,    1.0025, 3,    2290.51,  119.5,   0.95367
"611", 4.16, 3,    2229.44,  118.9,   0.92825, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 3,    2221.58,  119.1,   0.92497, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,    2401.32,    1.1,   0.99981, 2,    2378.71, -120.3,   0.99039, 3,    2323.63,  119.7,   0.96746
"671", 4.16, 1,    2421.08,    0.7,     1.008, 2,    2399.87, -119.5,   0.99921, 3,     2284.7,  119.4,   0.95125
"632", 4.16, 1,     2398.1,    1.2,   0.99847, 2,     2366.1, -120.3,   0.98514, 3,     2354.4,  119.8,   0.98028
